e,word
1018,심각하다
1019,준비
1020,계속되다
1021,구월
1022,맑다
1023,소년
1024,소식
1025,유월
1026,작용
1027,허리
1028,골
1029,공업
1030,그중
1031,노인
1032,벌다
1033,살리다
1034,새
1035,영어
1036,출신
1037,결정
1038,경향
1039,기록
1040,나름
1041,대답하다
1042,반면
1043,썰다
1044,움직임
1045,이미지
1046,터지다
1047,특성
1048,교장
1049,벗다
1050,업무
1051,입시
1052,준비하다
1053,청소년
1054,돕다
1055,응
1056,이기다
1057,찾아보다
1058,취하다
1059,다루다
1060,달
1061,사장
1062,삼월
1063,그렇지만
1064,선배
1065,업체
1066,키
1067,구하다
1068,국회
1069,그러므로
1070,포함하다
1071,걱정
1072,결혼하다
1073,만약
1074,바르다
1075,세월
1076,숨
1077,행사
1078,깨닫다
1079,누나
1080,신
1081,왕
1082,점점
1083,질문
1084,특별
1085,판단
1086,해결하다
1087,거리
1088,계속하다
1089,그치다
1090,근처
1091,너무나
1092,높이다
1093,부정
1094,사정
1095,도대체
1096,막
1097,부모님
1098,수출
1099,계시다
1100,그
1101,자르다
1102,데리다
1103,마리
1104,무척
1105,비용
1106,비행기
1107,옳다
1108,원래
1109,처리
1110,최초
1111,꼴
1112,놀이
1113,뜨겁다
1114,뿌리
1115,수입
1116,초
1117,그리하여
1118,낮
1119,일찍
1120,직원
1121,찍다
1122,가볍다
1123,내부
1124,다소
1125,상대
1126,오전
1127,피부
1128,가게
1129,가득
1130,그저
1131,도
1132,벽
1133,장군
1134,무역
1135,부담
1136,약속
1137,인사
1138,줄
1139,쳐다보다
1140,충분히
1141,대
1142,신체
1143,에너지
1144,위원
1145,정리하다
1146,집안
1147,배경
1148,죽이다
1149,단순하다
1150,반대
1151,법칙
1152,빠지다
1153,소금
1154,오염
1155,자전거
1156,참여하다
1157,탓
1158,푸르다
1159,그래
1160,목
1161,발표
1162,범죄
1163,위
1164,흔들다
1165,기초
1166,논리
1167,드라마
1168,뽑다
1169,피우다
1170,감각
1171,미리
1172,부족하다
1173,인사
1174,저희
1175,진행되다
1176,교통
1177,기구
1178,법
1179,오랜
1180,젊은이
1181,후보
1182,거리
1183,과제
1184,근거
1185,기록하다
1186,다가오다
